rep,affinity,affinity_description,mode,threads,nx,ny,steps,cells_per_thread,nu,dt,init,u0,schedule,chunk,collapse,omp_proc_bind,omp_places,gomp_cpu_affinity,allowed_cpus,elapsed,speedup,efficiency,relative_to_best_1t,stable,initial_min,initial_max,final_min,final_max,initial_l2,final_l2,initial_sum,final_sum
3,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.828842604,3.875280502815758,0.48441006285196975,3.8379082539133584,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.754474796,4.0395439718816,0.2524714982426,4.000587606617291,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.74824569,4.053937113381358,0.2533710695863349,4.014841944212086,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.730988207,4.09435376702136,0.255897110438835,4.054868829617624,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.736311758,4.081800433214598,0.12755626353795618,4.042436557064425,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.736467992,4.081433184286417,0.12754478700895053,4.042072849794286,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,sem_bind,Sem fixacao explicita pelo OpenMP,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,false,,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.735671359,4.083306467696342,0.1276033271155107,4.043928067721258,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_cores,Threads proximas em nucleos,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.041570239,1.0,1.0,0.9967847918530149,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_cores,Threads proximas em nucleos,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.042997379,0.9997973675236264,0.9997973675236264,0.9965828108822302,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_cores,Threads proximas em nucleos,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.078737697,0.9947494229068904,0.9947494229068904,0.9915510964581514,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_cores,Threads proximas em nucleos,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.609294546,1.9509547223857966,0.9754773611928983,1.944681996867983,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_cores,Threads proximas em nucleos,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.619673394,1.9453606644931458,0.9726803322465729,1.9391059250358431,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_cores,Threads proximas em nucleos,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.616559593,1.947035589467197,0.9735177947335985,1.940775464777472,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_cores,Threads proximas em nucleos,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.136125828,3.296421094066749,0.8241052735166873,3.2858224141092123,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_cores,Threads proximas em nucleos,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.133575035,3.3003621262375713,0.8250905315593928,3.2897507750412913,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_cores,Threads proximas em nucleos,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.139999522,3.290454117680873,0.8226135294202183,3.279874622794425,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_cores,Threads proximas em nucleos,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.805035627,3.90106994769029,0.48763374346128624,3.8885271958125176,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_cores,Threads proximas em nucleos,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.809672067,3.8910752767893615,0.4863844095986702,3.878564659858896,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_cores,Threads proximas em nucleos,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.838859439,3.8293140245832573,0.47866425307290716,3.8170019829340527,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_cores,Threads proximas em nucleos,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.73076629,4.068469717537658,0.25427935734610363,4.055388740556069,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_cores,Threads proximas em nucleos,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.7392018,4.048736747512566,0.2530460467195354,4.0357192161369655,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_cores,Threads proximas em nucleos,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.73517762,4.058126475259634,0.2536329047037271,4.045078753954884,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_cores,Threads proximas em nucleos,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.739995858,4.0468890811578015,0.1264652837861813,4.033877490414118,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_cores,Threads proximas em nucleos,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.740428573,4.045882921160247,0.12643384128625773,4.032874565430385,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_cores,Threads proximas em nucleos,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,close,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.740282788,4.046221848285039,0.12644443275890746,4.033212402833923,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,spread_cores,Threads espalhadas entre nucleos,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.018930125,1.0,1.0,1.0,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,spread_cores,Threads espalhadas entre nucleos,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.067446189,0.9931352764913142,0.9931352764913142,0.9931352764913142,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,spread_cores,Threads espalhadas entre nucleos,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.084615656,0.9907284270326829,0.9907284270326829,0.9907284270326829,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,spread_cores,Threads espalhadas entre nucleos,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.573061297,1.9644023825992591,0.9822011912996296,1.9644023825992591,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
