rep,version,processes,n,steps,elapsed_max,elapsed_mean,sum_total,rank,local_n,rank_time,local_sum
2,isend_irecv_wait,4,100000,2000,0.019109888,0.01909851125,980.561916,0,25000,0.019100425,980.561916
2,isend_irecv_wait,4,100000,2000,0.019109888,0.01909851125,980.561916,1,25000,0.019109888,0.0
3,isend_irecv_wait,4,100000,2000,0.016349958,0.01632890575,980.561916,3,25000,0.016348695,0.0
3,isend_irecv_wait,4,100000,2000,0.016349958,0.01632890575,980.561916,1,25000,0.016310871,0.0
3,isend_irecv_wait,4,100000,2000,0.016349958,0.01632890575,980.561916,0,25000,0.016306099,980.561916
3,isend_irecv_wait,4,100000,2000,0.016349958,0.01632890575,980.561916,2,25000,0.016349958,0.0
1,isend_irecv_wait,4,1000000,2000,0.165168287,0.165071672,980.561916,2,250000,0.16506058,0.0
1,isend_irecv_wait,4,1000000,2000,0.165168287,0.165071672,980.561916,3,250000,0.164979628,0.0
1,isend_irecv_wait,4,1000000,2000,0.165168287,0.165071672,980.561916,0,250000,0.165168287,980.561916
1,isend_irecv_wait,4,1000000,2000,0.165168287,0.165071672,980.561916,1,250000,0.165078193,0.0
2,isend_irecv_wait,4,1000000,2000,0.162628061,0.1625893085,980.561916,2,250000,0.162514554,0.0
2,isend_irecv_wait,4,1000000,2000,0.162628061,0.1625893085,980.561916,3,250000,0.162628061,0.0
2,isend_irecv_wait,4,1000000,2000,0.162628061,0.1625893085,980.561916,1,250000,0.162621062,0.0
2,isend_irecv_wait,4,1000000,2000,0.162628061,0.1625893085,980.561916,0,250000,0.162593557,980.561916
3,isend_irecv_wait,4,1000000,2000,0.163150223,0.1631075655,980.561916,3,250000,0.163046469,0.0
3,isend_irecv_wait,4,1000000,2000,0.163150223,0.1631075655,980.561916,2,250000,0.163128077,0.0
3,isend_irecv_wait,4,1000000,2000,0.163150223,0.1631075655,980.561916,0,250000,0.163150223,980.561916
3,isend_irecv_wait,4,1000000,2000,0.163150223,0.1631075655,980.561916,1,250000,0.163105493,0.0
1,isend_irecv_test,2,100000,2000,0.056597375,0.056595664000000004,980.561916,1,50000,0.056593953,0.0
1,isend_irecv_test,2,100000,2000,0.056597375,0.056595664000000004,980.561916,0,50000,0.056597375,980.561916
2,isend_irecv_test,2,100000,2000,0.05686869,0.0568661065,980.561916,0,50000,0.05686869,980.561916
2,isend_irecv_test,2,100000,2000,0.05686869,0.0568661065,980.561916,1,50000,0.056863523,0.0
3,isend_irecv_test,2,100000,2000,0.056783104,0.056778524,980.561916,0,50000,0.056783104,980.561916
3,isend_irecv_test,2,100000,2000,0.056783104,0.056778524,980.561916,1,50000,0.056773944,0.0
1,isend_irecv_test,2,1000000,2000,0.59101359,0.590978153,980.561916,1,500000,0.590942716,0.0
1,isend_irecv_test,2,1000000,2000,0.59101359,0.590978153,980.561916,0,500000,0.59101359,980.561916
2,isend_irecv_test,2,1000000,2000,0.581998652,0.5819310975,980.561916,0,500000,0.581863543,980.561916
2,isend_irecv_test,2,1000000,2000,0.581998652,0.5819310975,980.561916,1,500000,0.581998652,0.0
3,isend_irecv_test,2,1000000,2000,0.588163584,0.5881504705,980.561916,0,500000,0.588137357,980.561916
3,isend_irecv_test,2,1000000,2000,0.588163584,0.5881504705,980.561916,1,500000,0.588163584,0.0
1,isend_irecv_test,4,100000,2000,0.03389591,0.03385766925,980.561916,3,25000,0.03389591,0.0
1,isend_irecv_test,4,100000,2000,0.03389591,0.03385766925,980.561916,1,25000,0.033845858,0.0
1,isend_irecv_test,4,100000,2000,0.03389591,0.03385766925,980.561916,2,25000,0.033862953,0.0
1,isend_irecv_test,4,100000,2000,0.03389591,0.03385766925,980.561916,0,25000,0.033825956,980.561916
2,isend_irecv_test,4,100000,2000,0.038032061,0.038020597249999996,980.561916,0,25000,0.038003511,980.561916
2,isend_irecv_test,4,100000,2000,0.038032061,0.038020597249999996,980.561916,1,25000,0.038032061,0.0
2,isend_irecv_test,4,100000,2000,0.038032061,0.038020597249999996,980.561916,2,25000,0.038023956,0.0
2,isend_irecv_test,4,100000,2000,0.038032061,0.038020597249999996,980.561916,3,25000,0.038022861,0.0
3,isend_irecv_test,4,100000,2000,0.032655934,0.03265266275,980.561916,0,25000,0.032649934,980.561916
3,isend_irecv_test,4,100000,2000,0.032655934,0.03265266275,980.561916,3,25000,0.032651576,0.0
3,isend_irecv_test,4,100000,2000,0.032655934,0.03265266275,980.561916,2,25000,0.032655934,0.0
3,isend_irecv_test,4,100000,2000,0.032655934,0.03265266275,980.561916,1,25000,0.032653207,0.0
1,isend_irecv_test,4,1000000,2000,0.344961836,0.34492402425,980.561916,3,250000,0.344930832,0.0
1,isend_irecv_test,4,1000000,2000,0.344961836,0.34492402425,980.561916,0,250000,0.344935503,980.561916
1,isend_irecv_test,4,1000000,2000,0.344961836,0.34492402425,980.561916,2,250000,0.344961836,0.0
1,isend_irecv_test,4,1000000,2000,0.344961836,0.34492402425,980.561916,1,250000,0.344867926,0.0
2,isend_irecv_test,4,1000000,2000,0.330833729,0.33080435375,980.561916,0,250000,0.33080204,980.561916
2,isend_irecv_test,4,1000000,2000,0.330833729,0.33080435375,980.561916,3,250000,0.330790219,0.0
2,isend_irecv_test,4,1000000,2000,0.330833729,0.33080435375,980.561916,1,250000,0.330791427,0.0
2,isend_irecv_test,4,1000000,2000,0.330833729,0.33080435375,980.561916,2,250000,0.330833729,0.0
3,isend_irecv_test,4,1000000,2000,0.324992333,0.324921257,980.561916,3,250000,0.324890818,0.0
3,isend_irecv_test,4,1000000,2000,0.324992333,0.324921257,980.561916,0,250000,0.324992333,980.561916
3,isend_irecv_test,4,1000000,2000,0.324992333,0.324921257,980.561916,1,250000,0.324933753,0.0
3,isend_irecv_test,4,1000000,2000,0.324992333,0.324921257,980.561916,2,250000,0.324868124,0.0
