rep,m,n,processes,rows_per_process,seq_time,elapsed,speedup,efficiency,speedup_seq,efficiency_seq,speedup_mpi,efficiency_mpi,bcast_time,scatter_time,compute_time,gather_time,validation_time,checksum
1,1000,1000,1,1000,0.000557899,0.002295499,0.2430404021086483,0.2430404021086483,0.2430404021086483,0.2430404021086483,1.045738638962596,1.045738638962596,1.88e-07,0.001909667,0.000380771,4.046e-06,6.22e-07,307461.923077
2,1000,1000,1,1000,0.000557899,0.002414888,0.2310247928682407,0.2310247928682407,0.2310247928682407,0.2310247928682407,0.9940386469268969,0.9940386469268969,1.29e-07,0.002039504,0.000370825,3.604e-06,6.51e-07,307461.923077
3,1000,1000,1,1000,0.000557899,0.002491089,0.22395787545125848,0.22395787545125848,0.22395787545125848,0.22395787545125848,0.9636315683622705,0.9636315683622705,9e-08,0.002096738,0.000389353,4.067e-06,6.43e-07,307461.923077
1,1000,1000,2,500,0.000557899,0.002350078,0.23739595026207644,0.11869797513103822,0.23739595026207644,0.11869797513103822,1.021452053931827,0.5107260269659135,9.834e-06,0.00212167,0.000192702,1.9716e-05,1.9091e-05,307461.923077
2,1000,1000,2,500,0.000557899,0.00229347,0.24325541646500717,0.12162770823250359,0.24325541646500717,0.12162770823250359,1.046663788931183,0.5233318944655915,9.064e-06,0.002068147,0.000190984,2.0191e-05,1.8804e-05,307461.923077
3,1000,1000,2,500,0.000557899,0.002362425,0.236155221858895,0.1180776109294475,0.236155221858895,0.1180776109294475,1.0161135274135686,0.5080567637067843,1.0586e-05,0.002119463,0.000204961,3.4353e-05,2.0204e-05,307461.923077
1,1000,1000,4,250,0.000557899,0.002365472,0.23585102677182399,0.058962756692955996,0.23585102677182399,0.058962756692955996,1.01480465632229,0.2537011640805725,1.7441e-05,0.002225378,0.000106128,1.7846e-05,0.0011948,307461.923077
2,1000,1000,4,250,0.000557899,0.002180313,0.2558802337095637,0.06397005842739092,0.2558802337095637,0.06397005842739092,1.1009850420558882,0.27524626051397205,1.6457e-05,0.002047186,0.000101139,1.7687e-05,0.001045731,307461.923077
3,1000,1000,4,250,0.000557899,0.002267422,0.24604991924749786,0.061512479811874465,0.24604991924749786,0.061512479811874465,1.0586877960961834,0.26467194902404584,1.9314e-05,0.002131621,0.000103015,1.8792e-05,0.001079894,307461.923077
1,2000,2000,1,2000,0.002114058,0.009840924,0.21482312026797484,0.21482312026797484,0.21482312026797484,0.21482312026797484,1.0056280961692892,1.0056280961692892,1.74e-07,0.007962369,0.001871089,5.983e-06,1.095e-06,1230001.153846
